Unnamed: 0;location_id;location_name;year_id;sex_id;sex;measure_id;measure_name;metric_id;metric_name;scenario_id;scenario_name;val;lower;upper;expectancy years;expectancy weeks
6554;78;Denmark;2031;3;Both;26;Life expectancy;1;Number;21;Tobacco Smoking Elimination by 2050;83.02306346955892;82.76461681234305;83.25719286332517;83.02306346955892;4317.199300417064
6555;78;Denmark;2032;3;Both;26;Life expectancy;1;Number;0;Reference;82.91264277621751;82.65293010921309;83.16200047747927;82.91264277621751;4311.457424363311
6556;78;Denmark;2032;3;Both;26;Life expectancy;1;Number;20;Tobacco Smoking Elimination as of 2023;83.61825160923357;83.3609539089173;83.86301278771126;83.61825160923357;4348.149083680146
6557;78;Denmark;2032;3;Both;26;Life expectancy;1;Number;21;Tobacco Smoking Elimination by 2050;83.12010372792173;82.86095552348452;83.37122010791508;83.12010372792173;4322.24539385193
6558;78;Denmark;2033;3;Both;26;Life expectancy;1;Number;0;Reference;82.94851015263973;82.69135883536411;83.19770209707607;82.94851015263973;4313.3225279372655
6559;78;Denmark;2033;3;Both;26;Life expectancy;1;Number;20;Tobacco Smoking Elimination as of 2023;83.68068216787556;83.4204903273509;83.92547724872266;83.68068216787556;4351.3954727295295
6560;78;Denmark;2033;3;Both;26;Life expectancy;1;Number;21;Tobacco Smoking Elimination by 2050;83.16872772506923;82.90759017467491;83.41314312837204;83.16872772506923;4324.7738417036
6561;78;Denmark;2034;3;Both;26;Life expectancy;1;Number;0;Reference;83.01423782410936;82.74313160967657;83.26518817287457;83.01423782410936;4316.740366853686
6562;78;Denmark;2034;3;Both;26;Life expectancy;1;Number;20;Tobacco Smoking Elimination as of 2023;83.77172095164046;83.50342456544881;84.02287782273974;83.77172095164046;4356.129489485304
6563;78;Denmark;2034;3;Both;26;Life expectancy;1;Number;21;Tobacco Smoking Elimination by 2050;83.24913046130929;82.97698767511848;83.49857949307463;83.24913046130929;4328.954783988083
6564;78;Denmark;2035;3;Both;26;Life expectancy;1;Number;0;Reference;83.06493985104083;82.79047548090298;83.32356437705123;83.06493985104083;4319.376872254124
6565;78;Denmark;2035;3;Both;26;Life expectancy;1;Number;20;Tobacco Smoking Elimination as of 2023;83.84886546361095;83.5768387924472;84.10495824595867;83.84886546361095;4360.14100410777
6566;78;Denmark;2035;3;Both;26;Life expectancy;1;Number;21;Tobacco Smoking Elimination by 2050;83.31654461586237;83.04203904492614;83.57232839327936;83.31654461586237;4332.460320024843
6567;78;Denmark;2036;3;Both;26;Life expectancy;1;Number;0;Reference;83.11916607478881;82.84628869087169;83.37218357093484;83.11916607478881;4322.196635889018
6568;78;Denmark;2036;3;Both;26;Life expectancy;1;Number;20;Tobacco Smoking Elimination as of 2023;83.92938603502674;83.65901840030435;84.17598025515643;83.92938603502674;4364.328073821391
6569;78;Denmark;2036;3;Both;26;Life expectancy;1;Number;21;Tobacco Smoking Elimination by 2050;83.38894744666112;83.11401215750396;83.64173834625424;83.38894744666112;4336.2252672263785
6570;78;Denmark;2037;3;Both;26;Life expectancy;1;Number;0;Reference;83.1514815397766;82.8734637295454;83.4196529816658;83.1514815397766;4323.877040068383
6571;78;Denmark;2037;3;Both;26;Life expectancy;1;Number;20;Tobacco Smoking Elimination as of 2023;83.98943853395292;83.70595970654638;84.23805605810523;83.98943853395292;4367.450803765552
6572;78;Denmark;2037;3;Both;26;Life expectancy;1;Number;21;Tobacco Smoking Elimination by 2050;83.44099794371895;83.16182309596022;83.70133373275998;83.44099794371895;4338.931893073385
6573;78;Denmark;2038;3;Both;26;Life expectancy;1;Number;0;Reference;83.19801979106222;82.91636193270064;83.47163619674447;83.19801979106222;4326.297029135236
6574;78;Denmark;2038;3;Both;26;Life expectancy;1;Number;20;Tobacco Smoking Elimination as of 2023;84.05830200379549;83.76799705684508;84.30845286931279;84.05830200379549;4371.031704197366
6575;78;Denmark;2038;3;Both;26;Life expectancy;1;Number;21;Tobacco Smoking Elimination by 2050;83.50479047925703;83.22113741619407;83.77320147443116;83.50479047925703;4342.249104921365
6576;78;Denmark;2039;3;Both;26;Life expectancy;1;Number;0;Reference;83.23569081395891;82.94404013107827;83.51302555546923;83.23569081395891;4328.255922325863
6577;78;Denmark;2039;3;Both;26;Life expectancy;1;Number;20;Tobacco Smoking Elimination as of 2023;84.11939151956479;83.81349080764097;84.3767368487961;84.11939151956479;4374.208359017369
6578;78;Denmark;2039;3;Both;26;Life expectancy;1;Number;21;Tobacco Smoking Elimination by 2050;83.5626001799988;83.26365594391254;83.82887305846805;83.5626001799988;4345.255209359937
6579;78;Denmark;2040;3;Both;26;Life expectancy;1;Number;0;Reference;83.27436779543879;82.97646797138907;83.55653322264376;83.27436779543879;4330.267125362817
6580;78;Denmark;2040;3;Both;26;Life expectancy;1;Number;20;Tobacco Smoking Elimination as of 2023;84.18219856465122;83.87571538947131;84.45342996993087;84.18219856465122;4377.4743253618635
6581;78;Denmark;2040;3;Both;26;Life expectancy;1;Number;21;Tobacco Smoking Elimination by 2050;83.62395313165905;83.32038265080264;83.89918590469426;83.62395313165905;4348.445562846271
6582;78;Denmark;2041;3;Both;26;Life expectancy;1;Number;0;Reference;83.31286341346333;82.99596632944704;83.59560158475023;83.31286341346333;4332.268897500093
6583;78;Denmark;2041;3;Both;26;Life expectancy;1;Number;20;Tobacco Smoking Elimination as of 2023;84.24472368258522;83.9363151623144;84.53193655423163;84.24472368258522;4380.725631494432
6584;78;Denmark;2041;3;Both;26;Life expectancy;1;Number;21;Tobacco Smoking Elimination by 2050;83.6869495171113;83.37172125262613;83.97575985148124;83.6869495171113;4351.7213748897875
6585;78;Denmark;2042;3;Both;26;Life expectancy;1;Number;0;Reference;83.35420796607846;83.03940781979469;83.64447033944771;83.35420796607846;4334.41881423608
6586;78;Denmark;2042;3;Both;26;Life expectancy;1;Number;20;Tobacco Smoking Elimination as of 2023;84.31012388271077;83.99988521717975;84.60184169336141;84.31012388271077;4384.12644190096
6587;78;Denmark;2042;3;Both;26;Life expectancy;1;Number;21;Tobacco Smoking Elimination by 2050;83.75413775349783;83.4497707866843;84.04778169396425;83.75413775349783;4355.215163181887
6588;78;Denmark;2043;3;Both;26;Life expectancy;1;Number;0;Reference;83.38260207833211;83.06572937604172;83.660702301535;83.38260207833211;4335.89530807327
6589;78;Denmark;2043;3;Both;26;Life expectancy;1;Number;20;Tobacco Smoking Elimination as of 2023;84.36012374115072;84.04359185946548;84.65725511748747;84.36012374115072;4386.726434539837
6590;78;Denmark;2043;3;Both;26;Life expectancy;1;Number;21;Tobacco Smoking Elimination by 2050;83.80919408580408;83.49503306904427;84.10062611688376;83.80919408580408;4358.078092461812
6591;78;Denmark;2044;3;Both;26;Life expectancy;1;Number;0;Reference;83.40507511073965;83.08836126438406;83.68730329145647;83.40507511073965;4337.063905758461
6592;78;Denmark;2044;3;Both;26;Life expectancy;1;Number;20;Tobacco Smoking Elimination as of 2023;84.40491735794132;84.0842337919224;84.69383401284507;84.40491735794132;4389.055702612948
6593;78;Denmark;2044;3;Both;26;Life expectancy;1;Number;21;Tobacco Smoking Elimination by 2050;83.86073005656222;83.5372520940379;84.14420899028251;83.86073005656222;4360.757962941236
6594;78;Denmark;2045;3;Both;26;Life expectancy;1;Number;0;Reference;83.43898818952157;83.12763434761244;83.72640186662522;83.43898818952157;4338.827385855121
6595;78;Denmark;2045;3;Both;26;Life expectancy;1;Number;20;Tobacco Smoking Elimination as of 2023;84.46035952809149;84.13766705298204;84.75514556544759;84.46035952809149;4391.938695460757
6596;78;Denmark;2045;3;Both;26;Life expectancy;1;Number;21;Tobacco Smoking Elimination by 2050;83.9249942749039;83.60360783016557;84.21318852601996;83.9249942749039;4364.099702295002
6597;78;Denmark;2046;3;Both;26;Life expectancy;1;Number;0;Reference;83.46637478357937;83.14832263267897;83.75643645023163;83.46637478357937;4340.2514887461275
6598;78;Denmark;2046;3;Both;26;Life expectancy;1;Number;20;Tobacco Smoking Elimination as of 2023;84.50996115895533;84.1853236448107;84.81015955299289;84.50996115895533;4394.517980265678
6599;78;Denmark;2046;3;Both;26;Life expectancy;1;Number;21;Tobacco Smoking Elimination by 2050;83.98422175236051;83.65962563004007;84.27809572773978;83.98422175236051;4367.179531122747
6600;78;Denmark;2047;3;Both;26;Life expectancy;1;Number;0;Reference;83.50283959881824;83.18269527255325;83.79776272309822;83.50283959881824;4342.147659138549
6601;78;Denmark;2047;3;Both;26;Life expectancy;1;Number;20;Tobacco Smoking Elimination as of 2023;84.56825480323207;84.23250118777572;84.86502382093562;84.56825480323207;4397.549249768067
6602;78;Denmark;2047;3;Both;26;Life expectancy;1;Number;21;Tobacco Smoking Elimination by 2050;84.05299843779567;83.72519267788093;84.35290688703529;84.05299843779567;4370.755918765374
6603;78;Denmark;2048;3;Both;26;Life expectancy;1;Number;0;Reference;83.52247617873388;83.20698617700353;83.82385539074846;83.52247617873388;4343.168761294162
6604;78;Denmark;2048;3;Both;26;Life expectancy;1;Number;20;Tobacco Smoking Elimination as of 2023;84.60550860822927;84.27663906400666;84.92376056284817;84.60550860822927;4399.486447627922
6605;78;Denmark;2048;3;Both;26;Life expectancy;1;Number;21;Tobacco Smoking Elimination by 2050;84.10371723610007;83.78044871646989;84.41649624944257;84.10371723610007;4373.393296277203
6606;78;Denmark;2049;3;Both;26;Life expectancy;1;Number;0;Reference;83.5347959727479;83.21642053612767;83.83775328810884;83.5347959727479;4343.809390582891
6607;78;Denmark;2049;3;Both;26;Life expectancy;1;Number;20;Tobacco Smoking Elimination as of 2023;84.63674051111765;84.3023832847484;84.95524716251994;84.63674051111765;4401.110506578118
6608;78;Denmark;2049;3;Both;26;Life expectancy;1;Number;21;Tobacco Smoking Elimination by 2050;84.1487745420219;83.81845553716276;84.47383702480559;84.1487745420219;4375.736276185138
6609;78;Denmark;2050;3;Both;26;Life expectancy;1;Number;0;Reference;83.55624966053377;83.23170678440454;83.86434658793348;83.55624966053377;4344.924982347756
6610;78;Denmark;2050;3;Both;26;Life expectancy;1;Number;20;Tobacco Smoking Elimination as of 2023;84.6758337754;84.33504490375451;84.99236492128014;84.6758337754;4403.143356320799
6611;78;Denmark;2050;3;Both;26;Life expectancy;1;Number;21;Tobacco Smoking Elimination by 2050;84.20311944832092;83.86523696906647;84.51702039880836;84.20311944832092;4378.562211312687
6612;79;Finland;2022;3;Both;26;Life expectancy;1;Number;0;Reference;80.83325257441514;80.19525483127201;81.35310491630635;80.83325257441514;4203.329133869587
6613;79;Finland;2022;3;Both;26;Life expectancy;1;Number;20;Tobacco Smoking Elimination as of 2023;80.83325257441514;80.19525483127201;81.35310491630635;80.83325257441514;4203.329133869587
6614;79;Finland;2022;3;Both;26;Life expectancy;1;Number;21;Tobacco Smoking Elimination by 2050;80.83325257441514;80.19525483127201;81.35310491630635;80.83325257441514;4203.329133869587
6615;79;Finland;2023;3;Both;26;Life expectancy;1;Number;0;Reference;82.42714280440472;82.01565199062495;82.77133788521812;82.42714280440472;4286.211425829046
6616;79;Finland;2023;3;Both;26;Life expectancy;1;Number;20;Tobacco Smoking Elimination as of 2023;82.47554982508625;82.06410860940262;82.81964434170517;82.47554982508625;4288.728590904485
6617;79;Finland;2023;3;Both;26;Life expectancy;1;Number;21;Tobacco Smoking Elimination by 2050;82.43347963552019;82.02197135810967;82.77767675268748;82.43347963552019;4286.540941047049
6618;79;Finland;2024;3;Both;26;Life expectancy;1;Number;0;Reference;82.60596416105689;82.21834297128211;82.92030758311374;82.60596416105689;4295.510136374958
6619;79;Finland;2024;3;Both;26;Life expectancy;1;Number;20;Tobacco Smoking Elimination as of 2023;82.70073895727354;82.31350770143521;83.01519295663213;82.70073895727354;4300.438425778224
6620;79;Finland;2024;3;Both;26;Life expectancy;1;Number;21;Tobacco Smoking Elimination by 2050;82.61846705612986;82.23078722201427;82.93284251010262;82.61846705612986;4296.160286918753
6621;79;Finland;2025;3;Both;26;Life expectancy;1;Number;0;Reference;82.7754550780295;82.42146552039844;83.07745770261909;82.7754550780295;4304.323664057534
6622;79;Finland;2025;3;Both;26;Life expectancy;1;Number;20;Tobacco Smoking Elimination as of 2023;82.91481192271313;82.56209243743191;83.21432695361925;82.91481192271313;4311.570219981083
6623;79;Finland;2025;3;Both;26;Life expectancy;1;Number;21;Tobacco Smoking Elimination by 2050;82.793955089131;82.44035112728663;83.0958521203876;82.793955089131;4305.285664634812
6624;79;Finland;2026;3;Both;26;Life expectancy;1;Number;0;Reference;82.9455417062394;82.61566237994231;83.24676883921818;82.9455417062394;4313.168168724449
6625;79;Finland;2026;3;Both;26;Life expectancy;1;Number;20;Tobacco Smoking Elimination as of 2023;83.1278732778717;82.79680560115348;83.42488225062026;83.1278732778717;4322.649410449329
6626;79;Finland;2026;3;Both;26;Life expectancy;1;Number;21;Tobacco Smoking Elimination by 2050;82.96987003978298;82.6398067993744;83.27057895109992;82.96987003978298;4314.433242068715
6627;79;Finland;2027;3;Both;26;Life expectancy;1;Number;0;Reference;83.09098508724657;82.77468168622107;83.37171647027586;83.09098508724657;4320.731224536821
6628;79;Finland;2027;3;Both;26;Life expectancy;1;Number;20;Tobacco Smoking Elimination as of 2023;83.31546148343575;82.9958891267222;83.59318136831035;83.31546148343575;4332.403997138659
6629;79;Finland;2027;3;Both;26;Life expectancy;1;Number;21;Tobacco Smoking Elimination by 2050;83.1210841977091;82.8051185557149;83.40180951540052;83.1210841977091;4322.296378280873
6630;79;Finland;2028;3;Both;26;Life expectancy;1;Number;0;Reference;83.25025784540632;82.96350909170447;83.53324625040538;83.25025784540632;4329.013407961129
6631;79;Finland;2028;3;Both;26;Life expectancy;1;Number;20;Tobacco Smoking Elimination as of 2023;83.49456885953903;83.20119640492035;83.77489414865684;83.49456885953903;4341.7175806960295
